"","x"
"1",948070489
"2",20348549
"3",20331174
"4",20331918
"5",20325533
"6",20331372
"7",20334658
"8",20348627
"9",20331386
"10",20325663
"11",20329216
"12",20348775
"13",20348621
"14",948070380
"15",948070292
"16",20331606
"17",20332404
"18",20350913
"19",20326431
"20",20324439
"21",20324441
"22",20325675
"23",20350715
"24",20333766
"25",20325681
"26",20325685
"27",20325579
"28",948070384
"29",948070223
"30",20325677
"31",20325683
"32",22548545
"33",20331612
"34",20326437
"35",948070293
"36",20334720
"37",22547123
"38",20348815
"39",948070509
"40",20326435
"41",20324451
"42",20325515
"43",22549385
"44",22547097
"45",20334696
"46",20348861
"47",20348663
"48",20325499
"49",20331404
"50",20348513
"51",948070291
"52",20325665
"53",20325673
"54",20325453
"55",20326507
"56",20329200
"57",20350887
"58",20326505
"59",20326427
